region	name	x0	y0	x1	y1
54	West Virginia	-82.644591	37.20154	-77.719519	40.638801
12	Florida	-87.634896	24.396308	-79.974306	31.000968
17	Illinois	-91.513079	36.970298	-87.019935	42.508481
27	Minnesota	-97.239093	43.499361	-89.483385	49.384358
24	Maryland	-79.487651	37.886605	-74.986282	39.723037
44	Rhode Island	-71.907258	41.095834	-71.088571	42.018799
16	Idaho	-117.243027	41.988182	-111.043495	49.000911
33	New Hampshire	-72.557124	42.697042	-70.575094	45.305778
37	North Carolina	-84.321821	33.752878	-75.400119	36.588137
50	Vermont	-73.437905	42.726933	-71.465047	45.016659
09	Connecticut	-73.727775	40.950943	-71.787239	42.050511
10	Delaware	-75.789023	38.451132	-74.984165	39.839516
35	New Mexico	-109.050431	31.332231	-103.002043	37.000233
06	California	-124.482003	32.528832	-114.131211	42.009503
34	New Jersey	-75.563586	38.788657	-73.88506	41.357423
55	Wisconsin	-92.889433	42.49172	-86.249548	47.309822
41	Oregon	-124.703541	41.992082	-116.463262	46.299099
31	Nebraska	-104.053514	39.999932	-95.30829	43.001707
42	Pennsylvania	-80.519851	39.719799	-74.689502	42.516072
53	Washington	-124.848974	45.543541	-116.916071	49.002432
22	Louisiana	-94.043352	28.855127	-88.758388	33.019543
13	Georgia	-85.605165	30.355757	-80.751429	35.001303
01	Alabama	-88.473227	30.144425	-84.888246	35.008028
49	Utah	-114.052885	36.997657	-109.041572	42.001702
39	Ohio	-84.820305	38.403423	-80.518705	42.327132
48	Texas	-106.645646	25.837164	-93.508039	36.500704
08	Colorado	-109.060204	36.992449	-102.041522	41.003444
45	South Carolina	-83.353928	32.033454	-78.499301	35.21554
40	Oklahoma	-103.002413	33.615787	-94.43101	37.002312
47	Tennessee	-90.310298	34.982924	-81.6469	36.678255
56	Wyoming	-111.054558	40.994772	-104.052245	45.005815
15	Hawaii	-178.443593	18.86546	-154.755792	28.517269
38	North Dakota	-104.049118	45.935072	-96.554411	49.000692
21	Kentucky	-89.571203	36.497058	-81.964788	39.147732
69	Commonwealth of the Northern Mariana Islands	144.813338	14.036565	146.154418	20.616556
66	Guam	144.563426	13.182335	145.009167	13.706179
23	Maine	-71.083928	42.917126	-66.885444	47.459854
36	New York	-79.76259	40.477399	-71.777491	45.015865
32	Nevada	-120.006473	35.001857	-114.039461	42.001842
02	Alaska	-179.231086	51.175092	179.859681	71.439786
60	American Samoa	-171.141907	-14.601813	-168.101612	-10.997203
26	Michigan	-90.418392	41.696118	-82.122971	48.306063
05	Arkansas	-94.617919	33.004106	-89.644395	36.499749
28	Mississippi	-91.655009	30.139845	-88.097888	34.996099
29	Missouri	-95.774704	35.995683	-89.098968	40.61364
30	Montana	-116.049153	44.357915	-104.039694	49.0011
20	Kansas	-102.051769	36.993016	-94.588387	40.003166
18	Indiana	-88.097892	37.771728	-84.784592	41.761368
72	Puerto Rico	-67.998751	17.831509	-65.168503	18.568002
46	South Dakota	-104.057879	42.479686	-96.436472	45.945377
25	Massachusetts	-73.50821	41.187053	-69.858861	42.886778
51	Virginia	-83.675395	36.540852	-75.166435	39.466012
11	District of Columbia	-77.119759	38.791645	-76.909393	38.995845
19	Iowa	-96.639485	40.37544	-90.140061	43.501196
04	Arizona	-114.816591	31.332177	-109.045172	37.003725
78	United States Virgin Islands	-65.154118	17.623468	-64.512674	18.464984
UTM00	UTM 00	-179.999988540844	-89	179.999988540844	89
UTM01	UTM 01	-179.999988540844	-80.000000060536	-174.000000002794	84.000000086613
UTM02	UTM 02	-174.000000002794	-80.000000060536	-168.000000005588	84.000000086613
UTM03	UTM 03	-168.000000005588	-80.000000060536	-162.000000008382	84.000000086613
UTM04	UTM 04	-162.000000008382	-80.000000060536	-156.000000011176	84.000000086613
UTM05	UTM 05	-156.000000011176	-80.000000060536	-150.00000001397	84.000000086613
